id colorId role
1 POOB active
2 GOBW active
3 **** active
4 GP** active
5 WWGY active
6 GW** passive
8 GY**(2) active
9 P*B* active
10 GY**(1) active
11 WB**1 passive
12 WBOG passive
13 YPP* passive
14 *OPY passive
15 *OPB active
16 GPPO passive
17 WW** passive
18 OY** passive
19 P*PY passive
20 PYYP passive
21 PGGP passive
22 QUEEN passive
23 PG*G passive
24 WPWP passive
25 O*** passive
26 OBGB passive
27 YBGO passive
28 BBWB passive
29 OGPG passive
30 OBBP passive
31 WOYB passive
32 WB**2 passive
33 B*YB active
