id colorId roleLL
1 O*G* lowActive
2 LWLB falsePassive
3 WPWY falsePassive
4 W*YOW lowActive
5 BO*Y lowActive
6 PG** highActive
7 Yp*Y falsePassive
8 P*** highActive
9 PYO* highActive
10 *PWO highActive
11 Y*yG highActive
12 **WW highActive
13 PGGY highActive
15 WGOW highActive
16 WOo*1 highActive
17 WGG* highActive
18 *OGL highActive
19 GO** highActive
21 GL** truePassive
22 LO*Y highActive
23 WO**1 highActive
24 BWYL highActive
25 PB** lowActive
26 wp** highActive
27 *w**0 lowActive
28 Yo*O highActive
29 P*Y* highActive
30 YO** highActive
31 PYGL highActive
32 WBPO lowActive
33 PPWO lowActive
34 wOo*2 truePassive
35 *O** truePassive
36 GPGY falsePassive
37 W*GO truePassive
38 Gg** lowActive
39 WO**2 falsePassive
40 YPP* lowActive
41 OBWO truePassive
42 **YY lowActive
43 WGGW truePassive
44 *W**1 highActive
45 BW** truePassive
46 YP*B truePassive
47 Ly** truePassive
48 *gOl truePassive
49 O**G truePassive
51 WL** highActive
52 bYWL truePassive
53 GW** truePassive
54 WB**2 truePassive
55 *W**2 truePassive
56 *OOG truePassive
57 Y*PO highActive
58 *OPO truePassive
59 OO**2 truePassive
60 Queen truePassive
61 *Pyl truePassive
62 LG** lowActive
63 W*W* truePassive
64 BPpY truePassive
65 WW** truePassive
66 PO** lowActive
67 W*GW truePassive
68 G*PG truePassive
69 *P**1 truePassive
70 BYYP truePassive
71 *PYW truePassive
72 WB**1 truePassive
73 **YG truePassive
74 OO**1 falsePassive
75 GGLO truePassive
76 **** highActive
77 *GYP lowActive
