Colony,Treatment,Time,Ant,Behavior,Location/Origin,Source/Destination,Notes
208,5,0:00:00,OldUncoded,Open,old,,Good camera started 29 seconds after mediocre camera
208,5,0:07:26,GGPY,E,good,,
208,5,0:10:24,Y*YG,E,good,,
208,5,0:10:33,GGPY,L,good,,
208,5,0:12:06,Y*YG,L,good,,
208,5,0:12:58,**P*,E,good,,
208,5,0:15:42,*G*P,E,good,,
208,5,0:15:50,**P*,L,good,,
208,5,0:16:05,GBO*,E,good,,
208,5,0:17:59,GBO*,L,good,,
208,5,0:18:55,WPWG,E,mediocre,,
208,5,0:18:55,Y*YG,TB,good,old?,
208,5,0:19:58,WPWG,L,mediocre,,
208,5,0:20:10,Y*YG,L,good,,
208,5,0:20:51,**P*,BC,good,old?,
208,5,0:20:51,Y*YG,TA,good,old?,
208,5,0:21:08,Y*YG,L,good,,
208,5,0:21:51,GGYO,BC,good,old?,#1
208,5,0:21:51,Y*YG,TA,good,old?,
208,5,0:22:06,YYOW,E,good,,
208,5,0:22:07,*G*P,L,good,,
208,5,0:22:43,Y*YG,L,good,,
208,5,0:23:05,GB**,E,good,,
208,5,0:24:11,OPP*,E,good,,
208,5,0:24:20,GOW*,E,mediocre,,
208,5,0:24:29,G*GY,E,mediocre,,
208,5,0:24:34,**P*,L,good,,
208,5,0:24:37,G*GY,L,mediocre,,
208,5,0:26:52,GGYO,L,good,,#1
208,5,0:27:15,GOW*,L,mediocre,,
208,5,0:27:42,**P*,TA,good,old?,
208,5,0:27:42,GGY*,BC,good,old?,#2
208,5,0:28:57,OBG*,E,good,,
208,5,0:28:58,**P*,L,good,,
208,5,0:30:05,GBO*,TA,good,old?,
208,5,0:30:05,GGGG,BC,good,old?,
208,5,0:30:18,**P*,TA,good,old?,
208,5,0:30:18,GO*G,BC,good,old?,
208,5,0:30:21,GOYL,E,good,,
208,5,0:30:29,GBO*,L,good,,
208,5,0:30:37,YYOW,L,good,,
208,5,0:31:31,**P*,L,good,,
208,5,0:31:54,GB**,L,good,,
208,5,0:32:05,GGYO,TA,good,old?,#1
208,5,0:32:05,YYG*,BC,good,old?,
208,5,0:32:08,OG**,BC,good,old?,
208,5,0:32:08,Y*YG,TA,good,old?,
208,5,0:32:09,GOW*,E,good,,
208,5,0:32:21,GB*Y,E,good,,
208,5,0:32:36,Y*YG,L,good,,
208,5,0:32:42,WGBG,E,good,,#2
208,5,0:32:51,GYO*,E,good,,
208,5,0:33:18,**P*,TA,good,old?,
208,5,0:33:18,*GGY,BC,good,old?,
208,5,0:34:22,GBO*,TA,good,old?,
208,5,0:34:22,LGGL,BC,good,old?,
208,5,0:34:31,OPP*,L,good,,
208,5,0:34:33,**P*,L,good,,
208,5,0:34:34,GGYO,L,good,,#1
208,5,0:34:48,GBO*,L,good,,
208,5,0:36:18,GYO*,L,good,,
208,5,0:36:29,GWG*,E,good,,
208,5,0:36:30,WY**,E,good,,
208,5,0:37:09,GO*G,L,good,,
208,5,0:37:23,LGGL,L,good,,
208,5,0:37:40,GBO*,TA,good,old?,
208,5,0:37:40,POYO,BC,good,old?,
208,5,0:37:47,GOYL,L,good,,
208,5,0:37:53,GOW*,L,good,,
208,5,0:37:56,BG**,E,good,,
208,5,0:38:10,GBO*,L,good,,
208,5,0:38:26,GB*Y,L,good,,
208,5,0:38:37,G*GY,BC,good,old?,
208,5,0:38:37,GO*G,TA,good,old?,
208,5,0:38:47,GGY*,L,good,,#2
208,5,0:38:55,WGBG,L,good,,#2
208,5,0:39:44,*GGY,L,good,,
208,5,0:40:21,WPWG,E,mediocre,,
208,5,0:40:48,GB**,TB,good,old?,
208,5,0:40:51,GO*G,L,good,,
208,5,0:40:53,GWG*,L,good,,
208,5,0:41:01,O*GWO,BC,good,old?,
208,5,0:41:01,Y*YG,TA,good,old?,
208,5,0:41:11,WPWG,L,mediocre,,
208,5,0:41:13,GBO*,TB,good,old?,
208,5,0:41:29,Y*YG,L,good,,
208,5,0:41:31,GYO*,TA,good,old?,
208,5,0:41:31,PPLY,BC,good,old?,
