Colony,Treatment,Time,Ant,Behavior,Location/Origin,Source/Destination,Notes
3004,1,5:14:04,****,E,good,,
3004,1,5:28:31,****,L,good,,
3004,1,5:33:23,****,E,good,,
3004,1,5:35:00,****,L,good,,
3004,1,5:50:45,****,E,good,,
3004,1,5:51:58,****,L,good,,
3004,1,5:59:04,****,E,good,,
3004,1,6:01:22,****,L,good,,
3004,1,7:32:37,****,E,good,,
3004,1,7:35:09,****,L,good,,
3004,1,8:29:34,****,E,good,,
3004,1,8:41:10,****,L,good,,
3004,1,9:00:51,****,E,good,,
3004,1,9:10:39,****,L,good,,
3004,1,9:17:37,****,E,good,,
3004,1,9:22:52,****,L,good,,
3004,1,9:30:25,****,E,good,,
3004,1,9:33:32,****,L,good,,
3004,1,9:41:04,****,LB,old,good,
3004,1,9:45:18,****,E,good,,
3004,1,9:50:28,****,LB,old,good,
3004,1,9:56:52,****,LB,old,good,
3004,1,9:57:09,****,L,good,,
3004,1,9:57:22,****,E,good,,
3004,1,10:03:47,****,L,good,,
3004,1,10:30:24,****,E,good,,
3004,1,10:32:34,****,L,good,,
3004,1,10:35:55,****,TA,good,old?,
3004,1,10:36:53,****,L,good,,
3004,1,10:39:27,****,TB,good,old?,
3004,1,10:40:03,****,L,good,,
3004,1,10:44:49,****,TA,good,old?,
3004,1,10:45:23,****,L,good,,
3004,1,10:47:43,****,TA,good,old?,
3004,1,10:48:09,****,L,good,,
3004,1,10:50:36,****,TA,good,old?,
3004,1,10:51:11,****,L,good,,
3004,1,10:53:47,****,TA,good,old?,
3004,1,10:54:47,****,L,good,,
3004,1,10:57:23,****,TA,good,old?,
3004,1,10:58:12,****,L,good,,
3004,1,11:00:56,****,TA,good,old?,
3004,1,11:01:45,****,L,good,,
3004,1,11:03:59,****,TA,good,old?,
3004,1,11:04:57,****,L,good,,
3004,1,11:08:25,****,TA,good,old?,
3004,1,11:08:51,****,L,good,,
3004,1,11:13:36,****,TA,good,old?,
3004,1,11:14:07,****,L,good,,
3004,1,11:18:21,****,TA,good,old?,
3004,1,11:19:59,****,L,good,,
3004,1,11:21:54,****,TB,good,old?,
3004,1,11:23:29,****,L,good,,
3004,1,11:26:19,****,TB,good,old?,
3004,1,11:27:22,****,L,good,,
3004,1,11:30:27,****,TB,good,old?,
3004,1,11:31:07,****,L,good,,
3004,1,11:33:15,****,TA,good,old?,
3004,1,11:33:41,****,L,good,,
3004,1,11:33:59,****,TB,good,old?,
3004,1,11:34:45,****,L,good,,
3004,1,11:37:14,****,TB,good,old?,
3004,1,11:37:57,****,L,good,,
3004,1,11:40:16,****,TB,good,old?,
3004,1,11:41:06,****,L,good,,
3004,1,11:42:40,****,TB,good,old?,
3004,1,11:43:43,****,L,good,,
3004,1,11:46:16,****,TB,good,old?,
3004,1,11:47:14,****,L,good,,
3004,1,11:50:20,****,TB,good,old?,
3004,1,11:51:31,****,L,good,,
3004,1,11:59:22,****,BC,good,old?,
3004,1,12:03:46,****,L,good,,
3004,1,12:17:02,****,E,good,,
3004,1,12:38:17,****,L,good,,
3004,1,12:49:07,****,E,good,,
3004,1,8:25:13,*O*B,E,mediocre,,
3004,1,8:28:36,*O*B,L,mediocre,,
3004,1,10:53:08,*OPB,FB,old,good,
3004,1,10:55:57,*OPB,E,good,,
3004,1,11:12:22,*OPB,L,good,,
3004,1,11:16:51,*OPB,E,good,,
3004,1,11:25:45,*OPB,L,good,,
3004,1,11:26:25,*OPB,E,good,,
3004,1,11:37:31,*OPB,L,good,,
3004,1,11:54:36,*OPB,TB,good,old?,
3004,1,11:55:26,*OPB,L,good,,
3004,1,12:03:26,*OPB,E,good,,
3004,1,12:11:07,*OPB,L,good,,
3004,1,12:20:36,*OPB,TA,good,old?,
3004,1,12:34:35,*OPB,L,good,,
3004,1,12:45:12,*OPB,E,good,,
3004,1,10:50:36,*OPY,BC,good,old?,
3004,1,11:54:19,B*YB,BC,good,old?,
3004,1,12:08:36,B*YB,L,good,,
3004,1,12:15:18,B*YB,E,good,,
3004,1,12:29:35,B*YB,L,good,,
3004,1,12:34:18,B*YB,E,good,,
3004,1,12:37:46,B*YB,L,good,,
3004,1,12:44:18,B*YB,E,good,,
3004,1,11:39:02,BBWB,BC,good,old?,
3004,1,4:05:50,GOBW,E,mediocre,,
3004,1,4:07:18,GOBW,L,mediocre,,
3004,1,10:57:23,GOBW,BC,good,old?,
3004,1,11:05:18,GOBW,L,good,,
3004,1,11:05:37,GOBW,E,good,,
3004,1,11:12:00,GOBW,L,good,,
3004,1,11:28:23,GOBW,TB,good,old?,
3004,1,11:29:37,GOBW,L,good,,
3004,1,11:34:30,GOBW,TA,good,old?,
3004,1,11:36:00,GOBW,L,good,,
3004,1,11:40:19,GOBW,TB,good,old?,
3004,1,11:41:15,GOBW,L,good,,
3004,1,11:47:22,GOBW,TB,good,old?,
3004,1,11:49:03,GOBW,L,good,,
3004,1,11:53:58,GOBW,TA,good,old?,
3004,1,11:54:33,GOBW,L,good,,
3004,1,11:58:18,GOBW,TA,good,old?,
3004,1,11:59:52,GOBW,L,good,,
3004,1,12:12:24,GOBW,E,good,,
3004,1,7:28:07,GP**,E,mediocre,,
3004,1,7:30:50,GP**,L,mediocre,,
3004,1,8:04:46,GP**,E,mediocre,,
3004,1,8:05:47,GP**,L,mediocre,,
3004,1,10:07:12,GP**,FB,old,good,
3004,1,10:35:27,GP**,E,good,,
3004,1,12:33:52,GP**,L,good,,
3004,1,12:42:44,GP**,E,good,,
3004,1,10:53:47,GPPO,BC,good,old?,
3004,1,8:23:03,GW**,E,mediocre,,
3004,1,8:24:46,GW**,L,mediocre,,
3004,1,8:24:57,GW**,E,mediocre,,
3004,1,8:33:39,GW**,L,mediocre,,
3004,1,8:56:17,GW**,E,mediocre,,
3004,1,8:57:36,GW**,L,mediocre,,
3004,1,10:03:33,GW**,E,mediocre,,
3004,1,10:04:26,GW**,L,mediocre,,
3004,1,11:08:25,GW**,BC,good,old?,
3004,1,11:11:47,GW**,L,good,,
3004,1,11:12:19,GW**,E,good,,
3004,1,11:16:22,GW**,L,good,,
3004,1,11:25:51,GW**,TB,good,old?,
3004,1,11:30:41,GW**,L,good,,
3004,1,11:39:02,GW**,TA,good,old?,
3004,1,11:39:35,GW**,L,good,,
3004,1,11:42:43,GW**,TA,good,old?,
3004,1,11:43:36,GW**,L,good,,
3004,1,11:48:24,GW**,TB,good,old?,
3004,1,11:49:24,GW**,L,good,,
3004,1,11:52:40,GW**,TB,good,old?,
3004,1,11:53:25,GW**,L,good,,
3004,1,11:58:18,GW**,BC,good,old?,
3004,1,12:03:11,GW**,L,good,,
3004,1,12:15:15,GW**,E,good,,
3004,1,10:30:24,GY**(1),E,good,,
3004,1,10:50:06,GY**(1),L,good,,
3004,1,10:51:18,GY**(1),E,good,,
3004,1,10:56:59,GY**(1),L,good,,
3004,1,10:57:29,GY**(1),E,good,,
3004,1,11:06:10,GY**(1),L,good,,
3004,1,11:09:32,GY**(1),E,good,,
3004,1,11:12:24,GY**(1),L,good,,
3004,1,11:13:04,GY**(1),E,good,,
3004,1,12:05:40,GY**(1),L,good,,
3004,1,12:19:49,GY**(1),E,good,,
3004,1,9:41:04,GY**(2),FB,old,good,
3004,1,9:45:26,GY**(2),E,good,,
3004,1,9:50:28,GY**(2),FB,old,good,
3004,1,9:56:52,GY**(2),FB,old,good,
3004,1,9:59:18,GY**(2),L,good,,
3004,1,10:07:12,GY**(2),LB,old,good,
3004,1,10:26:55,GY**(2),LB,old,good,
3004,1,10:34:19,GY**(2),LB,old,good,
3004,1,10:34:46,GY**(2),E,good,,
3004,1,10:44:34,GY**(2),L,good,,
3004,1,10:44:55,GY**(2),E,good,,
3004,1,10:46:49,GY**(2),L,good,,
3004,1,10:47:06,GY**(2),E,good,,
3004,1,10:48:47,GY**(2),L,good,,
3004,1,10:58:15,GY**(2),E,good,,
3004,1,10:58:49,GY**(2),L,good,,
3004,1,11:03:09,GY**(2),TA,good,old?,
3004,1,11:03:51,GY**(2),L,good,,
3004,1,11:11:19,GY**(2),TB,good,old?,
3004,1,11:12:26,GY**(2),L,good,,
3004,1,11:17:45,GY**(2),TA,good,old?,
3004,1,11:18:22,GY**(2),L,good,,
3004,1,11:22:19,GY**(2),TB,good,old?,
3004,1,11:23:26,GY**(2),L,good,,
3004,1,11:26:43,GY**(2),TB,good,old?,
3004,1,11:27:15,GY**(2),L,good,,
3004,1,11:29:40,GY**(2),TA,good,old?,
3004,1,11:30:15,GY**(2),L,good,,
3004,1,11:32:39,GY**(2),TA,good,old?,
3004,1,11:33:05,GY**(2),L,good,,
3004,1,11:35:44,GY**(2),TB,good,old?,
3004,1,11:36:35,GY**(2),L,good,,
3004,1,11:40:46,GY**(2),TB,good,old?,
3004,1,11:41:25,GY**(2),L,good,,
3004,1,11:43:40,GY**(2),TA,good,old?,
3004,1,11:44:03,GY**(2),L,good,,
3004,1,11:47:50,GY**(2),TB,good,old?,
3004,1,11:48:19,GY**(2),L,good,,
3004,1,11:50:34,GY**(2),TB,good,old?,
3004,1,11:51:06,GY**(2),L,good,,
3004,1,11:53:07,GY**(2),TB,good,old?,
3004,1,11:53:43,GY**(2),L,good,,
3004,1,12:06:22,GY**(2),E,mediocre,,
3004,1,12:06:46,GY**(2),L,mediocre,,
3004,1,12:20:36,GY**(2),BC,good,old?,
3004,1,11:32:39,O***,BC,good,old?,
3004,1,11:43:40,OBBP,BC,good,old?,
3004,1,11:34:30,OBGB,BC,good,old?,
3004,1,11:42:43,OGPG,BC,good,old?,
3004,1,0:00:00,OldUncoded,Open,old,,Good camera started 4 seconds after mediocre camera
3004,1,11:03:09,OY**,BC,good,old?,
3004,1,10:28:22,P*B*,E,good,,
3004,1,10:36:41,P*B*,L,good,,
3004,1,10:53:08,P*B*,LB,old,good,
3004,1,10:55:53,P*B*,E,good,,
3004,1,11:02:11,P*B*,L,good,,
3004,1,11:03:54,P*B*,E,good,,
3004,1,11:07:00,P*B*,L,good,,
3004,1,11:12:33,P*B*,E,good,,
3004,1,11:14:18,P*B*,L,good,,
3004,1,11:17:37,P*B*,E,good,,
3004,1,11:18:28,P*B*,L,good,,
3004,1,11:27:41,P*B*,TA,good,old?,
3004,1,11:28:24,P*B*,L,good,,
3004,1,11:35:47,P*B*,TA,good,old?,
3004,1,11:36:17,P*B*,LB,good,old,
3004,1,11:36:26,P*B*,L,good,,
3004,1,11:36:57,P*B*,LB,good,old,
3004,1,11:46:42,P*B*,TB,good,old?,
3004,1,11:47:33,P*B*,L,good,,
3004,1,11:51:33,P*B*,TA,good,old?,
3004,1,11:52:05,P*B*,L,good,,
3004,1,11:59:22,P*B*,TA,good,old?,
3004,1,12:00:12,P*B*,L,good,,
3004,1,11:03:59,P*PY,BC,good,old?,
3004,1,11:27:41,PG*G,BC,good,old?,
3004,1,11:17:45,PGGP,BC,good,old?,
3004,1,2:22:11,POOB,E,mediocre,,
